Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
Tail Slap,Melee,Normal,Attack,At-Will,1d4,Tail Slap has -2 during Accuracy Check. Tail Slap is a Scatter attack. Up to 5 attacks.,,Cute,Reliable
Take Down,Melee,Normal,Attack,3/day,3d10,"On hit, you lose HP equal to 1/4th of the damage you deal.",,Tough,Appeal
Tar Shot,Ranged(20ft),Rock,Effect,3/day,,"Put a Tar Coat on the target. The Coat has the following ability: Your Speed is -2. If you are hit by a Fire-type attack, you take +8 damage. This Coat lasts for 2 mins.",,Cool,Round Ender
Taunt,Ranged(20ft),Dark,Effect,3/day,,"On hit, the target may only use attacks that target you or your allies for 1 min.",,Clever,Inversed Appeal
Tea Time,Ranged(40ft burst),Normal,Effect,3/day,,Any target holding a Berry immediately consumes it.,,Cute,Incredible
Techno Blast,"Ranged(40ft, 20ft blast)",Normal,Special,At-Will,3d8,"Techno Blast’s type can be changed to Ice, Electric, Fire, or Water when used.",,,
Tectonic Rage,"Ranged(60ft, 20ft blast)",Ground,(Variable),1/day,8d12,,,,
Teeter Dance,Ranged(30ft burst),Normal,Effect,1/day,,"On hit, all targets are Confused.",,Cute,Scrambler
Teleport,Self,Psychic,Effect,1/day,,"Teleport may be used as a Reaction. Teleport moves you 50ft away in your line of sight. After an enemy hits you with a move that deals damage, you may use Teleport as a Reaction to move up to 50ft away in your line of sight. You take only 1/4 th the damage you would have taken from the attack.",,Cool,Quick Set
Ten-Million Volt Thunderbolt,Ranged(100ft),Electric,Special,1/day,10d12,"On hit, the target is Paralyzed.",,,
Terrain Pulse,Ranged(25ft),Normal,Attack,3/day,3d8,"If used if you are in the area of a Terrain move , Terrain Pulse has 5d8 for damage instead and its type changes to match the terrain.",,Beauty,Incentives
Terrify,Ranged(25ft),Ghost,Special,At-Will,1d12,,,,
Thief,Melee,Dark,Attack,3/day,3d8,"On hit, steals the target’s held item, if any.",,Cool,Catching Up
Thousand Arrows,Ranged(40ft),Ground,Special,3/day,3d10,Thousand Arrows ignores any Ground-type immunities.,,,
Thousand Waves,"Ranged(40ft, 10ft wave)",Ground,Attack,3/day,3d12,"On hit, all targets are bound to the ground for 10 mins. Thousand Waves ignores any Ground-type immunities.",,,
Thrash,Melee,Normal,Attack,1/day,5d12,"Move to and attack the nearest possible target within 25ft. During your next action, move to and attack the nearest possible target within 25ft, then you become Confused. Thrash can and will target allies if possible.",,Tough,Reliable
Throat Chop,Melee,Dark,Attack,3/day,3d10,"On hit, the target may not use attacks or abilities that require the use of the target’s voice.",,Tough,Catching Up
Thunder,"Ranged(30ft, 5ft blast)",Electric,Special,1/day,5d12,"Thunder has -2 during Accuracy Check unless it’s Raining. On hit, if you got 14 or higher on Accuracy Check, the targets are Paralyzed.",Zapper,Cool,Round Starter
Thunder Cage,Ranged(50ft burst),Electric,Special,1/day,3d8,"On hit, all targets are bound to ground for 1d4 turns. For each turn the target is bound, it takes 1d6 damage.",,,
Thunder Fang,Melee,Electric,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, the target is randomly either Stunned or Paralyzed.",Zapper,Clever,Appeal
Thunder Punch,Melee,Electric,Attack,3/day,3d8,"On hit, if you got 17 or higher on Accuracy Check, the target is Paralyzed.",,Cool,Round Starter
Thunder Shock,Ranged(20ft),Electric,Special,At-Will,1d12,"On hit, if you got 18 or higher on Accuracy Check, the target is Paralyzed.",Zapper,Cool,Appeal
Thunder Spark,Ranged(20ft),Electric,Special,At-Will,1d12,,,,
Thunder Wave,Ranged(20ft),Electric,Effect,1/day,,"On hit, the target is Paralyzed.",Zapper,Cool,Excitement
Thunderbolt,Ranged(30ft),Electric,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Paralyzed.",Zapper,Cool,Round Starter
Thunderous Kick,Melee,Fighting,Attack,1/day,5d12,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,,
Tireless Teleport,Self,Psychic,Effect,At-Will,,"Tireless Teleport can be used as a Reaction. If you are hit by an attack, move up to 50ft away in your line of sight. Take only 1/4 th the damage you would have taken from the attack.",,,
Toxic,Melee,Poison,Effect,1/day,,"Toxic has -3 during Accuracy Check, unless the user is Poison type. On hit, the target is Toxifies the target.",,Clever,Excitement
Toxic Spikes,Ranged(20ft burst),Poison,Effect,3/day,,"Place the Toxic Spikes Hazard in the area surrounding you. Toxic Spikes Hazard has the following ability: When a foe moves through Toxic Spikes Hazard during their turn and are on the ground, they are Poisoned. If the Toxic Spikes Hazard has multiple layers, it will Toxify foes instead of Poisoning them instead. This Hazard disappears after 2 mins.",,Clever,Hold That Thought
Toxic Thread,Ranged(20ft),Poison,Effect,1/day,,"On hit, the target is Poisoned and the target’s Speed is -1 until they are no longer Poisoned.",,Clever,Excitement
Transform,Ranged(25ft),Normal,Effect,At-Will,,"You transform into a copy of the target changing all of your stats except for HP. You copy its stats, skills, and passives. You can use any of the target’s moves. While transformed, you lose access to your regular moves, skills, passives, and biology. Except for stats, this information is not provided to you. Transform may not target Legendary Pokémon. Transform lasts for 2 hours or until Ditto chooses to change back as an action. Transform fails if used by anything but a Ditto.",,Clever,Catching Up
Tri Attack,Ranged(20ft),Normal,Special,3/day,3d10,"On hit, if you got 17 or higher on Accuracy Check, the target is randomly either Paralyzed, Burned, or Frozen.",,Beauty,Appeal
Trick,Melee,Psychic,Effect,1/day,,"On hit, you and the target trade any held items. If only you or the target has an item, take or give the item to exchange who has possession of it.",Telekinetic,Clever,Attention Grabber
Trick Room,Field,Psychic,Effect,3/day,,"You create a circle of Tricky Terrain with a 60ft diameter. Within the Tricky terrain, turn orders are reversed during each round. If some are outside of Tricky terrain while others are within Tricky terrain, all actions are still made in reverse order. This terrain disappears after 2 mins.",,Cute,Scrambler
Trick-or-Treat,Melee,Ghost,Effect,3/day,,"On hit, put a Treat Coat on the target. The Coat has the following ability: You gain the Ghost-type for 10 mins.",,Clever,Torrential Appeal
Triple Axel,Melee,Ice,Attack,3/day,1d20,Triple Axel is a Scatter attack. Up to 3 attacks. Triple Axel’s last attack on hit deals an additional 1d12 damage.,,Beauty,Reliable
Triple Kick,Melee,Fighting,Attack,3/day,1d20,Triple Kick is a Scatter attack. Up to 3 attacks. Triple Kick’s last attack on hit deals an additional 1d12 damage.,,Cool,Reliable
Trop Kick,Melee,Grass,Attack,3/day,3d8,"On hit, the target’s Attack is -1 for 10 mins. This effect cannot be stacked.",,Cute,Incentives
Twineedle,Melee,Bug,Attack,3/day,1d12,"Twineedle is a Scat-ter attack. It has two attacks. On either hit, if you got 14 or higher on Accuracy Check, the target is Poisoned.",,Cool,Reliable
Twinkle Tackle,Melee(25ft burst),Fairy,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Twister,Ranged(15ft),Dragon,Special,At-Will,1d12,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Cool,Appeal
Twisting Gust,Ranged(120ft),Dragon,Special,At-Will,1d12,,,,
Unbreakable Armor,Self,Normal,Special,3/day,,"Your Defense is +4 for 10 mins, your Attack and Special Attack is -10 for 10 mins. This effect cannot be stacked.",,,
Unbreakable Barrier,Self,Normal,Special,3/day,,"Your Special Defense is +4 for 10 mins, your Attack and Special Attack is -10 for 10 mins. This effect cannot be stacked.",,,
Uproar,Ranged(20ft burst),Normal,Special,1/day,3d10,"You may move, but then must use Uproar for two more consec-utive rounds. Sleeping Pokémon within range of Uproar are awoken and Pokémon cannot go to Sleep within Uproar’s range.",,Cute,Unsettling
V-Create,Ranged(40ft burst),Fire,Attack,1/day,8d20,"On hit, all targets are Burned.",,,
Vacuum Wave,Ranged(15ft),Fighting,Special,At-Will,2d6,Vacuum Wave has Priority.,,Clever,Quick Set
Venom Drench,Ranged(10ft),Poison,Effect,3/day,,"Venom Drench can only target a Poisoned or Toxified enemy. On hit, the target’s Attack, Special Attack, and Speed are -3 for 10 mins. This effect cannot be stacked.",Repulsive,Clever,Incentives
Venoshock,Ranged(10ft),Poison,Special,3/day,2d10,"If the target is Poisoned or Toxified, Venoshock has 4d10 for damage instead.",,Clever,Incentives
Vice Grip,Melee,Normal,Attack,At-Will,2d8,,,Tough,Appeal
Vicious Insult,Ranged(25ft),Dark,Effect,3/day,,"Unless you’ve spent at least 10 mins with the target, Vicious Insult has -4 during accuracy check. On hit, the target is stunned. On hit, during the target’s next 3 turns it must succeed a confidence check by rolling 11 or greater on 1d20+any one of their modifiers or be stunned again.",,,
Vine Whip,Ranged(20ft),Grass,Attack,At-Will,2d8,,Threaded,Cool,Appeal
Vital Throw,Melee,Fighting,Attack,3/day,3d8,"You can’t miss targets with less than 15 Defense if the target already acted this round. On hit, move the target away from you 15ft.",,Cool,Slow Set
Void Fury,Melee,Dark,Attack,1/day,5d12,"On hit, your Defense and Special Defense is -2 for 10 mins. This effect cannot be stacked.",,,
Volcanic Devastation,Ranged(100ft burst),Water/Fire,Special,1/day,10d12,"Volcanic Devastation counts as both a Water and Fire type move for effectiveness. When you use this attack you immediately end your turn. During your next turn, you can’t act. On the round after that, when it’s your turn roll Volcanic Devastation’s Accuracy Check and damage. Set your HP to -300% HP and you must make three death savings throws.",,,
Volt Tackle,Melee,Electric,Attack,1/day,5d12,"On hit, you lose HP equal to 1/3rd of the damage you deal and if you got 18 or higher on Accuracy Check, the target is Paralyzed.",Zapper,Cool,Seen Nothing Yet
Wake-Up Slap,Melee,Fighting,Attack,3/day,3d8,"If Wake-Up Slap is used against a Sleeping target, Wake-Up Slap deals 5d8 for damage instead, then cures the target of Sleep. If you choose not to roll damage while using Wake-Up Slap, you do not need to roll an Accuracy Check.",,Cute,Inversed Appeal
Water Gun,Ranged(20ft),Water,Special,At-Will,2d6,,Fountain,Cute,Appeal
Water Pulse,Ranged(20ft burst),Water,Special,3/day,3d8,"On hit, if you got 16 or higher on Accuracy Check, the target is Confused.",Fountain,Beauty,Round Starter
Water Shuriken,Ranged(15ft),Water,Special,At-Will,1d4,Water Shuriken has Priority and is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Water Sport,Melee,Water,Effect,At-Will,,Put a Water Coat on the target or yourself. The Coat has the following ability: Reduce damage from Fire attacks that hit you by 10. This Coat lasts for 2 mins.,,Cute,Hold That Thought
Water Spout,Ranged(30ft burst),Water,Special,1/day,3d10,"If you are at Max HP, Water Spout has 5d12 for damage instead.",,Beauty,Seen Nothing Yet
Waterfall,Melee,Water,Attack,3/day,3d10,"On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",Fountain,Tough,Appeal
Weather Ball,Ranged(25ft),Normal,Special,3/day,3d8,"If within weather, Weather Ball has 5d8 for damage instead and its type changes to match the weather.",,Clever,Incentives
Whirling Kinesis,Ranged(10ft),Psychic,Effect,At-Will,,"On hit, the target’s Accuracy Checks are -3 during their next turn. This effect cannot be stacked.",,,
Whirlpool,Ranged(10ft),Water,Special,3/day,1d12,"On hit, the target is bound in place for 1d4 rounds. For each round the target is bound, it takes 1d4 special damage on its turns.",Fountain,Beauty,Torrential Appeal
Whirlwind,Ranged(20ft),Normal,Effect,3/day,,"On hit, moves the target 60ft away.",,Clever,Big Show
Wicked Blow,Melee,Dark,Attack,3/day,3d12,"On hit, Wicked Blow always counts as a critical hit.",,,
Wild Charge,Melee,Electric,Attack,3/day,3d10,"On hit, you lose HP equal to 1/4th of the damage you deal.",Zapper,Tough,Appeal
Will-O-Wisp,Ranged(10ft),Fire,Effect,1/day,,"On hit, the target is Burned.",,Beauty,Round Starter
Wing Attack,Melee,Flying,Attack,At-Will,2d8,,,Cool,Appeal
Wish,Melee,Normal,Effect,1/day,,"Target an ally or yourself. After the target acts during the next round, they are healed HP equal to half of the target’s Max HP.",,Cute,Reflective Appeal
Wonder Room,Field,Psychic,Effect,3/day,,You create a circle of Wonderful Terrain with a 60ft diameter. Anyone who attacks within the Wonderful terrain makes Attack Accuracy Checks against Special Defense and Special Attack Accuracy Checks against Defense. This terrain disappears after 2 mins.,,Cute,Scrambler
Wood Hammer,Melee,Grass,Attack,1/day,5d12,"On hit, you lose HP equal to 1/3rd of the damage you deal.",,Tough,Round Ender
Wrap,Melee,Normal,Attack,At-Will,1d4,"On hit, the target is bound to you for 1d4 rounds. For each round the target is bound, it takes 1d4 physical damage on its turns.",,Tough,Torrential Appeal
X-Scissor,Melee,Bug,Attack,3/day,3d10,,,Beauty,Round Starter
Yawn,Melee,Normal,Effect,3/day,,"On hit, the target falls Asleep after its next turn.",,Cute,Excitement
Zap Cannon,Ranged(30ft),Electric,Special,1/day,5d12,Zap Cannon has -6 during Accuracy Check. On hit the target is Paralyzed.,Zapper,Cool,Incentives
Zen Headbutt,Melee,Psychic,Attack,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Beauty,Round Ender
Zing Zap,Melee,Electric,Attack,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Psionic Fury,Ranged(20ft),Psychic,Special,1/day,5d12,"On hit, your Defense and Special Defense is -2 for 10 mins. This effect cannot be stacked.",,,
